;Rural population (% of total population);Urban population (% of total population);Unemployment with advanced education (% of total labor force with advanced education);GDP (current US$);Unemployment, total (% of total labor force) (modeled ILO estimate);Population, total;Tarim (%);Sanayi (%);Hizmetler (%);Toplam;Tarim;Sanayi;Insaat;Hizmet;Kayit disi;onlisans;lisans;yükseklisans;Land area (sq. km);Forest area (% of land area);Forest area (sq. km);Agricultural land (sq. km);Agricultural land (% of land area)
1960;0,674;0, 31515;;1,40E+14;;27510980;;;;;;;;;;;;;769630;;;;
1961;0,669;0, 32064;;7,99E+14;;28255002;;;;;;;;;;;;;769630;;;;
1962;0,663;0, 32598;;8,92E+14;;29033647;;;;;;;;;;;;;769630;;;;
1963;0,658;0, 33137;;1,04E+14;;29827877;;;;;;;;;;;;;769630;;;;
1964;0,651;0, 3368;;1,12E+14;;30612821;;;;;;;;;;;;;769630;;;;
1965;0,642;0, 34227;;1,20E+14;;31374536;;;;;;;;;;;;;769630;;;;
1966;0,634;0, 34949;;1,41E+14;;32172785;;;;;;;;;;;;;769630;;;;
1967;0,626;0, 35759;;1,56E+14;;33026490;;;;;;;;;;;;;769630;;;;
1968;0,618;0, 36577;;1,75E+14;;33884075;;;;;;;;;;;;;769630;;;;
1969;0,611;0, 37401;;1,95E+14;;34721990;;;;;;;;;;;;;769630;;;;
1970;0,604;0, 38234;;1,71E+14;;35540990;;;;;;;;;;;;;769630;;;;
1971;0,597;0, 38945;;1,63E+14;;36359957;;;;;;;;;;;;;769630;;;;
1972;0,591;0, 396;;2,04E+14;;37188035;;;;;;;;;;;;;769630;;;;
1973;0,584;0, 40258;;2,56E+14;;38028236;;;;;;;;;;;;;769630;;;;
1974;0,579;0, 4092;;3,57E+14;;38863420;;;;;;;;;;;;;769630;;;;
1975;0,575;0, 41586;;4,48E+14;;39673590;;;;;;;;;;;;;769630;;;;
1976;0,571;0, 42087;;5,11E+14;;40500997;;;;;;;;;;;;;769630;;;;
1977;0,566;0, 42508;;5,87E+14;;41385656;;;;;;;;;;;;;769630;;;;
1978;0,562;0, 42931;;6,51E+14;;42292206;;;;;;;;;;;;;769630;;;;
